Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,New,In Specification,Open,In Progress,In Review,Pending,Resolved,Closed,Resolution 
Financial Reporting & Analytics,,FINRA-3306,Epic,New,29.09.2021 13:36:02,TBB|Use Case Reporting|,,,,839444,0,0,0,0,0,0, 
Financial Reporting & Analytics,,FINRA-3304,Epic,Open,29.09.2021 13:24:04,TBB|Use Case Reporting|,,15.11.2022 16:55:09,,593491,22,245943,0,0,0,0,0, 
Financial Reporting & Analytics,,FINRA-3275,Epic,Open,27.09.2021 12:05:35,Use Case Reporting|,,07.10.2021 16:29:40,,239500,296373,306539,0,0,0,0,0, 
Financial Reporting & Analytics,,FINRA-3090,Epic,New,14.09.2021 10:00:29,TBB|Use Case Reporting|,,,,861260,0,0,0,0,0,0, 
Financial Reporting & Analytics,,FINRA-3089,Epic,In Review,14.09.2021 09:46:07,TBB|Use Case Reporting|,,30.11.2021 13:59:51,,111133,190017,62110,254928,243084,0,0,0, 
Enabling Platforms,,ENABLPLATF-3557,Story,In Progress,08.08.2022 16:31:27,TBB Platform|,,22.11.2022 14:19:10,,152507,0,0,236041,0,0,0,0, 
COSMIC,,COSMIC-23569,Story,In Review,03.02.2022 17:16:33,SM-Accounts Payables|,,03.02.2022 17:19:50,10.11.2022 11:05:19,3,0,7233,4067,644846,0,192,0, 
COSMIC,,COSMIC-22813,Story,Resolved,16.11.2021 21:56:52,SM-Accounts Payables|,,23.11.2021 09:36:36,24.11.2022 18:17:59,9339,21715,2722,59243,425127,18752,232922,0,Done 
COSMIC,,COSMIC-22807,Story,In Review,16.11.2021 12:27:39,SM-Accounts Payables|,,23.11.2021 09:29:10,10.11.2022 10:58:07,9901,21722,2722,72355,644852,18642,192,0, 
COSMIC,,COSMIC-22378,Story,In Review,19.10.2021 16:47:00,SM-Accounts Payables|,,29.10.2021 18:03:55,10.11.2022 11:02:45,14476,57207,2722,81215,605727,48897,201,0, 
COSMIC,,COSMIC-18407,Story,In Review,19.04.2021 17:28:14,SM-Accounts Payables|,,13.08.2021 16:50:17,,167002,6933,28720,116290,754984,0,0,0, 
COSMIC,,COSMIC-18406,Story,Resolved,19.04.2021 16:59:44,SM-Accounts Payables|,,13.08.2021 16:49:01,10.11.2022 10:28:18,167029,6934,30042,0,616400,0,253552,0,Done 
COSMIC,,COSMIC-12671,Story,In Review,29.06.2020 17:25:48,SM-Accounts Payables|,,23.11.2021 10:35:36,,736869,21572,47791,26835,579960,84260,0,0, 
Shared CFS ,,CFROF-35738,Test Execution,Closed,16.09.2022 12:53:43,Document Management|,,27.10.2022 17:11:35,28.10.2022 14:21:16,59297,0,0,1269,0,0,0,272039, 
Shared CFS ,,CFROF-35716,Test Plan,Closed,13.09.2022 11:42:14,Document Management|,,22.11.2022 14:51:13,22.11.2022 14:51:13,100988,0,0,0,0,0,0,236009, 
Shared CFS ,,CFROF-35712,Test Execution,Closed,13.09.2022 10:28:17,Document Management|,,15.11.2022 16:41:10,18.11.2022 11:02:36,91092,0,0,3981,0,0,0,241998, 
Shared CFS ,,CFROF-35711,Test Execution,Closed,13.09.2022 10:23:18,Document Management|,,18.11.2022 11:30:30,18.11.2022 11:30:30,95107,0,0,0,0,0,0,241970, 
Shared CFS ,,CFROF-35709,Test Execution,Closed,13.09.2022 10:20:23,Document Management|,,18.11.2022 11:34:44,18.11.2022 11:34:44,95114,0,0,0,0,0,0,241966, 
Shared CFS ,,CFROF-35708,Test Execution,Closed,13.09.2022 10:17:25,Document Management|,,06.10.2022 11:18:18,19.10.2022 08:58:04,33180,0,0,18579,0,0,0,285322, 
Shared CFS ,,CFROF-35707,Test Execution,Closed,13.09.2022 10:14:03,Document Management|,,19.09.2022 14:38:13,02.11.2022 11:09:29,8904,0,0,63151,0,0,0,265031, 
Shared CFS ,,CFROF-35705,Test Execution,Closed,13.09.2022 10:04:29,Document Management|,,28.09.2022 13:58:37,28.09.2022 13:58:37,21834,0,0,0,0,0,0,315262, 
Shared CFS ,,CFROF-35180,Epic,Closed,05.08.2022 13:20:58,Document Management|,,13.10.2022 08:29:02,17.10.2022 16:07:09,99068,0,0,0,0,0,6218,287773,Won't Do 
Shared CFS ,,CFROF-32899,Epic,In Progress,23.02.2022 13:56:54,Document Management|,,17.03.2022 13:55:20,,31678,0,67762,528302,0,0,0,0, 
Shared CFS ,,CFROF-29128,Defect,Closed,04.06.2021 12:53:42,DE|Document Management|,,08.06.2021 07:54:31,09.06.2021 23:32:44,5460,0,0,437,1941,0,0,1000128,Fixed 
Shared CFS ,,CFROF-27027,Defect,Closed,30.03.2021 16:23:58,DE|Document Management|,,22.04.2021 17:24:33,18.05.2021 23:18:06,33180,0,0,28764,9028,0,0,1031822,Fixed 
Shared CFS ,,CFROF-27026,Defect,Closed,30.03.2021 16:22:24,DE|Document Management|,,22.04.2021 17:20:59,28.04.2021 17:05:33,33178,0,0,1250,7374,0,0,1060995,Duplicate 
Shared CFS ,,CFROF-27025,Defect,Closed,30.03.2021 16:17:56,DE|Document Management|,,14.04.2021 16:55:45,07.05.2021 16:17:17,21637,0,0,12799,20282,0,0,1048083,Fixed 
Shared CFS ,,CFROF-27024,Defect,Closed,30.03.2021 16:14:43,DE|Document Management|,,22.04.2021 17:20:20,05.05.2021 10:10:14,33185,0,0,1251,17038,0,0,1051330,Fixed 
Shared CFS ,,CFROF-27023,Defect,Closed,30.03.2021 16:09:42,DE|Document Management|,,22.04.2021 17:09:35,04.05.2021 22:48:54,33179,0,0,1262,16357,0,0,1052011,Fixed 
Shared CFS ,,CFROF-27022,Defect,Closed,30.03.2021 15:59:54,DE|Document Management|,,22.04.2021 17:19:38,13.05.2021 00:35:24,33199,0,0,1255,27979,0,0,1040385,Fixed 
Shared CFS ,,CFROF-27021,Defect,Closed,30.03.2021 15:53:43,DE|Document Management|,,22.04.2021 17:18:03,18.05.2021 14:41:15,33204,0,0,28770,8512,0,0,1032339,Fixed 
Shared CFS ,,CFROF-27020,Defect,Closed,30.03.2021 15:49:31,DE|Document Management|,,22.04.2021 17:21:49,18.05.2021 14:27:03,33212,0,0,28764,8500,0,0,1032353,Fixed 
Shared CFS ,,CFROF-26696,Defect,Closed,25.03.2021 16:50:31,Document Management|,,26.03.2021 09:45:00,29.03.2021 21:34:08,1014,0,0,0,5029,0,0,1103926,Fixed 
Shared CFS ,,CFROF-25291,Defect,Closed,26.02.2021 11:30:50,DE|Document Management|,,26.02.2021 11:31:09,21.04.2021 10:10:04,0,0,0,76412,1265,0,0,1071490,Fixed 
Shared CFS ,,CFROF-25064,Defect,Closed,17.02.2021 16:18:20,DE|Document Management|,,18.02.2021 16:44:40,16.03.2021 11:44:46,1466,0,0,37139,0,0,0,1123236,Fixed 
